sku_id,_id,item_name,comment_id,content,creation_time,reply_count,score,useful_vote_count,useless_vote_count,user_level_id,user_province,nickname,user_level_name,user_client,user_client_show,is_mobile,days,reference_time,after_days,after_user_comment
7534113,03b51aa9-2b5e-41c3-a40b-343164a1d23a,comment,11801751173,还可以刷脸解锁，帮朋友买的，她很满意,"2018-08-13 12:24:59",0,5,0,0,105,,k***0,PLUS会员,2,来自京东iPhone客户端,1,4,"2018-08-09 13:38:15",0,NO_MESSAGE
7534113,03b51aa9-2b5e-41c3-a40b-343164a1d23a,comment,11525358140,第一次买vivo，真心不错，1498的机子，没想到照相很清晰，性价比很高，买值了，还送了小音响，用了，真不错，机子贴膜都贴好了，不用自己单贴膜，拿起来就用，系统也不错，很快，国产的品牌真挺不错的。,"2018-05-27 17:49:17",7,5,19,0,105,,呢***呐,PLUS会员,4,来自京东Android客户端,1,5,"2018-05-22 09:32:37",0,NO_MESSAGE
7534113,03b51aa9-2b5e-41c3-a40b-343164a1d23a,comment,11787681311,手机好用快递送的快。,"2018-08-09 07:17:37",0,5,0,0,61,,V***c,银牌会员,4,来自京东Android客户端,1,3,"2018-08-06 18:45:59",0,NO_MESSAGE
8240587,082df194-97f0-425e-85ac-8596344114e6,comment,11726613552,手机收到。外观设计很好！美观大方。我喜欢！一直使用华为手机。从荣耀七，荣耀八，荣耀九。反正一出新机就想换。荣耀十就想换。一直考虑。看见这款机挺心动！现在手里的荣耀七，荣耀八。想不出处理办法！有不敢随便处理。怕高手把里面资料回复。留在手里也不是办法。给人也不敢。如果有好的方法！介绍个！,"2018-07-21 13:29:44",4,5,8,0,62,,8***3,金牌会员,4,来自京东Android客户端,1,1,"2018-07-20 06:14:02",0,NO_MESSAGE
5942439,dce41ae6-aed6-480e-a4e2-705dfb515c71,comment,11795202075,收到了，挺好的，声音大，电池大，好用发货速度快，非常满意，好好好。,"2018-08-11 11:51:26",0,5,0,0,105,,勇***来,钻石会员,4,来自京东Android客户端,1,2,"2018-08-09 15:02:19",0,NO_MESSAGE
5089275,f654a249-bff4-4e92-8fea-c3bd07c7eade,comment,10961004700,本来觉得双十一还会便宜的，想不到和11月初的价格差不多，想想还是感觉入手了，早买早享受。我的5s也该退休了，16G的内存完全不够用。值得表扬的是快递真的太快了，双十一买的，12号下午就到了。然后玩了一晚上，机子运行速度挺快，不过有些网上传的小问题，出现了两次开机闪屏的现象，后来就好了，不影响机子运行。打电话有轻微电流声，可以接受。整天感觉还行，等用段时间在看看。,"2017-11-12 23:52:09",8,5,15,0,62,,j***ゞ,金牌会员,2,来自京东iPhone客户端,1,1,"2017-11-11 00:05:52",0,NO_MESSAGE
7081550,9155a779-a366-4b36-872c-315a647d3af1,comment,11438336472,没有真正意义上的窄边框，不过已经不错了，手机流畅，另外还有51G空间可用，同时试了下近距拍摄，我的发毛清晰可见,"2018-04-28 20:19:18",5,5,20,0,105,,jinjiang70,PLUS会员,4,来自京东Android客户端,1,8,"2018-04-20 10:08:19",0,NO_MESSAGE
5663902,29a79fe8-8c2f-4560-8f5b-d7ff8cf4cc64,comment,11370481107,幻夜黑颜色很漂亮，2.5D屏幕，圆润。2K屏很清晰，惊艳,"2018-04-04 20:11:48",5,5,5,0,105,,萌***9,钻石会员,4,来自京东Android客户端,1,1,"2018-04-03 20:54:06",0,NO_MESSAGE
7283905,a8a40cf3-dc2c-489d-9664-69cd400eedbd,comment,11548650247,特地用了一段时间才来评价，这手机值得这个价钱，打游戏还行，就是电池很不耐用，摄像头也很突出，人脸识别很鸡肋，但是总体感觉还是很好的,"2018-06-03 13:26:09",5,5,8,0,61,,N***l,银牌会员,4,来自京东Android客户端,1,5,"2018-05-29 10:00:21",0,NO_MESSAGE
5001213,5d08d842-bb0d-41ae-b7d7-ea5e0ac015a3,comment,10799146991,机器没得说，价格也合理，虽说仍有不足，但还是比较满意的，首发就抢到了，暂时发现的不足就是扬声器没有现在用的note2好，虽说有点儿立体声，但是低音一般，还有就是显示，应该是屏幕的问题，比如说看新闻的时候，向下滑动，字体会模糊，这点不满意，其他都不错,"2017-09-20 20:10:58",98,5,338,0,62,,孙***y,金牌会员,4,来自京东Android客户端,1,5,"2017-09-15 10:08:03",0,NO_MESSAGE
